epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,825.867,1.23552,1.57897,0.81929,0.02578,0.16619,0.1038,0.0614,1.0356,3.34972,0.8005,0.000411255,0.000411255,0.000411255
2,1441.17,1.22324,0.87437,0.81112,0.82862,0.37662,0.53235,0.31442,1.1874,1.27023,0.81516,0.000819726,0.000819726,0.000819726
3,1667.74,1.20248,0.75381,0.8102,0.84171,0.54467,0.64974,0.38413,1.14742,0.63408,0.80948,0.00121995,0.00121995,0.00121995
4,2079.69,1.16005,0.68099,0.81111,0.89131,0.58427,0.70446,0.45396,1.01627,0.60427,0.81059,0.00121287,0.00121287,0.00121287
5,2433.82,1.0856,0.63327,0.80595,0.80281,0.53791,0.60573,0.35718,1.057,0.63987,0.80544,0.0012005,0.0012005,0.0012005
6,2928.07,1.11431,0.6313,0.80751,0.8028,0.65688,0.70175,0.45972,0.99124,0.54154,0.80226,0.00118812,0.00118812,0.00118812
7,3347.64,1.09724,0.59361,0.80098,0.81827,0.6933,0.71274,0.44166,1.04612,0.53548,0.80553,0.00117575,0.00117575,0.00117575
8,3821.57,1.04298,0.56445,0.80038,0.86241,0.6951,0.73175,0.46473,0.9683,0.52146,0.80024,0.00116337,0.00116337,0.00116337
9,4063.14,1.01414,0.53632,0.79925,0.80174,0.69807,0.74428,0.47195,0.96092,0.49125,0.799,0.001151,0.001151,0.001151
10,4521.56,0.98185,0.51632,0.79655,0.83788,0.67391,0.72358,0.45552,1.00362,0.51881,0.80224,0.00113863,0.00113863,0.00113863
11,4864.43,1.0231,0.5098,0.79621,0.87993,0.62969,0.72035,0.46261,1.00018,0.50544,0.80375,0.00112625,0.00112625,0.00112625
12,5119.12,1.04192,0.52753,0.79646,0.81548,0.74827,0.71602,0.47794,0.96168,0.50418,0.80164,0.00111388,0.00111388,0.00111388
13,5550.75,1.01367,0.51462,0.79399,0.84243,0.69532,0.76114,0.47318,0.96427,0.47661,0.80277,0.0011015,0.0011015,0.0011015
14,6004.87,0.95263,0.48256,0.79245,0.79156,0.66405,0.71912,0.43466,1.06307,0.53165,0.81243,0.00108913,0.00108913,0.00108913
15,6273.35,0.94459,0.47826,0.79135,0.84963,0.72333,0.76522,0.49836,0.88389,0.4704,0.79254,0.00107675,0.00107675,0.00107675
16,6648.19,0.96971,0.48017,0.79188,0.8622,0.72517,0.7833,0.53216,0.87548,0.43201,0.7939,0.00106437,0.00106437,0.00106437
17,7035.41,0.95097,0.4603,0.79055,0.93974,0.68083,0.77202,0.51821,0.86749,0.44803,0.79468,0.001052,0.001052,0.001052
18,7663.18,0.94901,0.46044,0.79097,0.89278,0.71552,0.7923,0.52617,0.85063,0.44113,0.79235,0.00103962,0.00103962,0.00103962
19,7992.22,0.92153,0.45219,0.79132,0.7789,0.70258,0.73687,0.47076,0.96144,0.46253,0.79952,0.00102725,0.00102725,0.00102725
20,8576.52,0.93295,0.45236,0.78972,0.90475,0.74567,0.79138,0.5409,0.85657,0.43467,0.79255,0.00101488,0.00101488,0.00101488
21,8762.64,0.91444,0.44782,0.78853,0.84608,0.72233,0.76228,0.50874,0.86744,0.44253,0.79061,0.0010025,0.0010025,0.0010025
22,9270.84,0.90827,0.44427,0.78566,0.92213,0.7406,0.79548,0.51642,0.8735,0.43152,0.79226,0.000990125,0.000990125,0.000990125
23,9495.39,0.88128,0.43049,0.78887,0.80304,0.74413,0.76043,0.50935,0.89166,0.43999,0.79479,0.00097775,0.00097775,0.00097775
24,9863.97,0.87049,0.42734,0.78599,0.91711,0.72319,0.79245,0.53829,0.82611,0.43271,0.79006,0.000965375,0.000965375,0.000965375
25,10349.2,0.87794,0.42729,0.78488,0.91396,0.70605,0.77926,0.52361,0.8743,0.4286,0.79326,0.000953,0.000953,0.000953
26,10786.9,0.89282,0.43288,0.78583,0.8066,0.74242,0.77378,0.5415,0.82999,0.43054,0.79375,0.000940625,0.000940625,0.000940625
27,11235.8,0.89447,0.42919,0.78553,0.94015,0.73267,0.80632,0.56072,0.81926,0.41733,0.79265,0.00092825,0.00092825,0.00092825
28,11576.6,0.83463,0.40655,0.78518,0.91319,0.71685,0.7867,0.54517,0.84723,0.41706,0.79198,0.000915875,0.000915875,0.000915875
29,11896.1,0.90043,0.42986,0.78655,0.92227,0.71314,0.77238,0.53413,0.84458,0.4386,0.79377,0.0009035,0.0009035,0.0009035
30,12183.8,0.86527,0.41888,0.78377,0.82352,0.71076,0.77053,0.49276,0.92562,0.46131,0.79522,0.000891125,0.000891125,0.000891125
31,12399.8,0.95805,0.45713,0.78903,0.86648,0.70335,0.77688,0.52693,0.85834,0.44948,0.79405,0.00087875,0.00087875,0.00087875
32,12937.5,0.8728,0.42081,0.78644,0.91229,0.73844,0.78396,0.54018,0.82659,0.41754,0.79118,0.000866375,0.000866375,0.000866375
33,13183.2,0.87742,0.4159,0.78697,0.92534,0.72539,0.80436,0.54473,0.8499,0.42139,0.79005,0.000854,0.000854,0.000854
34,13562,0.83228,0.40064,0.78357,0.83809,0.74174,0.78424,0.55636,0.80453,0.40254,0.78848,0.000841625,0.000841625,0.000841625
35,13796,0.86281,0.4104,0.78316,0.82627,0.73977,0.79037,0.55426,0.81561,0.42227,0.7899,0.00082925,0.00082925,0.00082925
36,14226.3,0.87117,0.40936,0.7866,0.95523,0.70682,0.80036,0.52129,0.9078,0.4238,0.79528,0.000816875,0.000816875,0.000816875
37,14593,0.82146,0.39504,0.7841,0.91785,0.71823,0.7878,0.54352,0.86901,0.41519,0.79484,0.0008045,0.0008045,0.0008045
38,14958.4,0.82435,0.39251,0.78191,0.9054,0.74345,0.80634,0.56818,0.8395,0.40837,0.79237,0.000792125,0.000792125,0.000792125
39,15277.7,0.87448,0.40951,0.78558,0.93613,0.71804,0.7873,0.54751,0.84198,0.40711,0.79116,0.00077975,0.00077975,0.00077975
40,15572.2,0.83596,0.40141,0.78418,0.83372,0.69954,0.76694,0.50013,0.92647,0.44135,0.79766,0.000767375,0.000767375,0.000767375
41,15947.7,0.84652,0.40264,0.78512,0.88815,0.74082,0.80477,0.54494,0.82534,0.41494,0.78863,0.000755,0.000755,0.000755
42,16305.8,0.81071,0.38673,0.78368,0.89726,0.73019,0.79777,0.54021,0.80828,0.39433,0.79071,0.000742625,0.000742625,0.000742625
43,16641.8,0.8193,0.39078,0.78298,0.86058,0.73163,0.78036,0.53886,0.80957,0.40677,0.79187,0.00073025,0.00073025,0.00073025
44,17044.4,0.83209,0.40345,0.78401,0.856,0.74546,0.78392,0.53884,0.80758,0.41127,0.79125,0.000717875,0.000717875,0.000717875
45,17286.6,0.80001,0.38674,0.78239,0.87384,0.73036,0.79385,0.56427,0.78541,0.40714,0.78952,0.0007055,0.0007055,0.0007055
46,17731.3,0.80419,0.38858,0.78207,0.94397,0.72697,0.80826,0.564,0.83123,0.40771,0.78999,0.000693125,0.000693125,0.000693125
47,17948.5,0.82964,0.40027,0.78302,0.84796,0.74105,0.76739,0.53946,0.82854,0.40443,0.7922,0.00068075,0.00068075,0.00068075
48,18177.9,0.81847,0.39219,0.78378,0.89945,0.69999,0.76847,0.53563,0.8126,0.41018,0.79105,0.000668375,0.000668375,0.000668375
49,18451.8,0.79384,0.37919,0.78302,0.85092,0.72385,0.77935,0.54591,0.80779,0.40195,0.78955,0.000656,0.000656,0.000656
50,18709.5,0.79686,0.38064,0.78066,0.94583,0.69989,0.79461,0.55022,0.8039,0.41111,0.78889,0.000643625,0.000643625,0.000643625
51,18995.6,0.79044,0.38002,0.78138,0.90621,0.75691,0.79737,0.55204,0.84891,0.4097,0.7899,0.00063125,0.00063125,0.00063125
52,19565.7,0.77878,0.37263,0.78166,0.89311,0.74784,0.80178,0.55532,0.78011,0.38984,0.78754,0.000618875,0.000618875,0.000618875
53,19840.5,0.79489,0.37512,0.7799,0.94602,0.74731,0.80907,0.56641,0.77059,0.37795,0.78665,0.0006065,0.0006065,0.0006065
54,20014,0.77152,0.37109,0.77831,0.93883,0.73676,0.81091,0.56913,0.79009,0.38994,0.78691,0.000594125,0.000594125,0.000594125
55,20205.5,0.75932,0.3704,0.77816,0.8284,0.7366,0.77996,0.54163,0.82053,0.4028,0.78941,0.00058175,0.00058175,0.00058175
56,20528,0.77139,0.36799,0.77836,0.87311,0.76223,0.80187,0.54006,0.8436,0.39591,0.78981,0.000569375,0.000569375,0.000569375
57,20888.3,0.77832,0.36787,0.77793,0.95615,0.72272,0.8084,0.5828,0.77229,0.38454,0.78637,0.000557,0.000557,0.000557
58,21228.2,0.75689,0.36106,0.78057,0.9606,0.74417,0.81692,0.57648,0.78026,0.38097,0.78704,0.000544625,0.000544625,0.000544625
59,21497.9,0.75903,0.35915,0.77873,0.89885,0.73777,0.81129,0.56039,0.83484,0.39299,0.78995,0.00053225,0.00053225,0.00053225
60,21849.9,0.77295,0.36338,0.77831,0.86881,0.73273,0.80541,0.56123,0.78055,0.38195,0.78669,0.000519875,0.000519875,0.000519875
61,22239.5,0.73116,0.3461,0.77714,0.90098,0.75208,0.82358,0.58463,0.76899,0.37259,0.78523,0.0005075,0.0005075,0.0005075
62,22619.6,0.751,0.35445,0.77408,0.92863,0.72538,0.80558,0.56014,0.77355,0.38377,0.78585,0.000495125,0.000495125,0.000495125
63,22873.9,0.75849,0.35581,0.77501,0.87017,0.74342,0.80272,0.54884,0.78619,0.38905,0.7864,0.00048275,0.00048275,0.00048275
64,23077.3,0.72764,0.34275,0.77721,0.9441,0.73446,0.80977,0.57063,0.76889,0.37295,0.78496,0.000470375,0.000470375,0.000470375
65,23312.5,0.73197,0.34405,0.77426,0.96856,0.7246,0.81837,0.58066,0.76396,0.37127,0.78522,0.000458,0.000458,0.000458
66,23594.4,0.7115,0.34034,0.77446,0.97279,0.72382,0.80958,0.57797,0.77073,0.37449,0.78374,0.000445625,0.000445625,0.000445625
67,23915.9,0.70577,0.33829,0.77549,0.87164,0.72168,0.80359,0.56735,0.75141,0.3735,0.7848,0.00043325,0.00043325,0.00043325
68,24246.9,0.72203,0.34085,0.77726,0.85676,0.75817,0.81622,0.55939,0.79391,0.38043,0.78708,0.000420875,0.000420875,0.000420875
69,24522.5,0.7133,0.34328,0.77676,0.85932,0.76197,0.8207,0.57274,0.78213,0.38549,0.78684,0.0004085,0.0004085,0.0004085
70,24780.3,0.72123,0.33928,0.77537,0.92981,0.747,0.8046,0.56703,0.76297,0.37475,0.78494,0.000396125,0.000396125,0.000396125
71,25044.5,0.70505,0.33606,0.77569,0.91189,0.73743,0.80843,0.55384,0.77524,0.38279,0.78611,0.00038375,0.00038375,0.00038375
72,25532.5,0.70361,0.33615,0.77315,0.92396,0.73019,0.79744,0.55009,0.77023,0.37477,0.78589,0.000371375,0.000371375,0.000371375
73,25861.2,0.71416,0.33782,0.77433,0.8987,0.73878,0.79271,0.55281,0.78673,0.38303,0.78773,0.000359,0.000359,0.000359
74,26133.7,0.71228,0.33624,0.77556,0.9008,0.74932,0.81035,0.56706,0.80651,0.37898,0.78718,0.000346625,0.000346625,0.000346625
75,26341.9,0.69963,0.33312,0.77542,0.85763,0.73498,0.81109,0.57085,0.79122,0.38018,0.78618,0.00033425,0.00033425,0.00033425
76,26749.2,0.69531,0.3306,0.77596,0.92465,0.74299,0.8127,0.56957,0.76836,0.36872,0.78498,0.000321875,0.000321875,0.000321875
77,27140.3,0.6846,0.32824,0.77525,0.92009,0.73273,0.82251,0.56757,0.78876,0.37798,0.78573,0.0003095,0.0003095,0.0003095
78,27586.9,0.72084,0.33614,0.77422,0.87755,0.74281,0.8184,0.57682,0.76524,0.37623,0.78564,0.000297125,0.000297125,0.000297125
79,27815.9,0.70594,0.3339,0.77366,0.8947,0.75367,0.80796,0.57353,0.78292,0.37427,0.7851,0.00028475,0.00028475,0.00028475
80,28072.4,0.69377,0.32639,0.77345,0.87113,0.75605,0.80929,0.57509,0.7722,0.3753,0.78398,0.000272375,0.000272375,0.000272375
81,28303.8,0.67869,0.3196,0.7732,0.8693,0.76036,0.81329,0.58127,0.78216,0.36676,0.78612,0.00026,0.00026,0.00026
82,28644.8,0.65416,0.31293,0.77158,0.86318,0.74174,0.8212,0.58841,0.75114,0.37037,0.78297,0.000247625,0.000247625,0.000247625
83,29009.4,0.66497,0.31463,0.77248,0.89731,0.74273,0.81502,0.58445,0.7676,0.37056,0.78401,0.00023525,0.00023525,0.00023525
84,29281.5,0.65456,0.31042,0.77279,0.88191,0.75412,0.81735,0.58411,0.77439,0.36835,0.78481,0.000222875,0.000222875,0.000222875
85,29611.2,0.64718,0.31244,0.77089,0.87605,0.7631,0.81191,0.57211,0.77902,0.37443,0.78404,0.0002105,0.0002105,0.0002105
86,29900.1,0.65439,0.3135,0.77248,0.8789,0.74332,0.81884,0.57663,0.76348,0.36837,0.78441,0.000198125,0.000198125,0.000198125
87,30134.9,0.64402,0.30929,0.77362,0.89069,0.7448,0.80395,0.57139,0.76853,0.37114,0.78512,0.00018575,0.00018575,0.00018575
88,30341.5,0.65165,0.30963,0.7705,0.93855,0.74555,0.8173,0.57687,0.78096,0.37349,0.78497,0.000173375,0.000173375,0.000173375
89,30623.3,0.63138,0.30123,0.77086,0.85387,0.7648,0.81287,0.58196,0.77442,0.3649,0.78491,0.000161,0.000161,0.000161
90,30872.3,0.64085,0.30629,0.77099,0.9,0.75129,0.81203,0.57302,0.77138,0.36561,0.784,0.000148625,0.000148625,0.000148625
91,31216.9,0.60002,0.29773,0.77256,0.89142,0.76252,0.81095,0.57395,0.77197,0.36591,0.7851,0.00013625,0.00013625,0.00013625
92,31511.3,0.58067,0.29082,0.76848,0.90337,0.75901,0.81853,0.57417,0.76936,0.37315,0.78506,0.000123875,0.000123875,0.000123875
93,31788.6,0.58607,0.2913,0.77095,0.90441,0.74199,0.81765,0.57064,0.77358,0.36475,0.78473,0.0001115,0.0001115,0.0001115
94,32183.6,0.57112,0.28871,0.7722,0.90189,0.75515,0.8105,0.56638,0.77708,0.36458,0.78565,9.9125e-05,9.9125e-05,9.9125e-05
95,32389.6,0.5711,0.28779,0.76984,0.89368,0.76875,0.81001,0.56385,0.77662,0.36865,0.78472,8.675e-05,8.675e-05,8.675e-05
96,32642.9,0.5743,0.2875,0.76936,0.89008,0.7645,0.80577,0.5667,0.7746,0.36615,0.78387,7.4375e-05,7.4375e-05,7.4375e-05
97,32952.2,0.55109,0.27854,0.7689,0.88498,0.76848,0.80973,0.57288,0.75877,0.36191,0.7838,6.2e-05,6.2e-05,6.2e-05
98,33326.9,0.54463,0.27594,0.76768,0.89578,0.77096,0.81456,0.57526,0.76092,0.35726,0.7846,4.9625e-05,4.9625e-05,4.9625e-05
99,33762.5,0.55606,0.27662,0.76694,0.88677,0.75925,0.81757,0.58135,0.76483,0.35866,0.78435,3.725e-05,3.725e-05,3.725e-05
100,34094.6,0.54952,0.27651,0.76848,0.8861,0.76305,0.81206,0.57844,0.76056,0.35448,0.78452,2.4875e-05,2.4875e-05,2.4875e-05
